1.10
lambda flux err
2582.584 4.13874 0.591434
2582.974 4.17512 0.591525
2583.364 3.61468 0.574678
2583.754 3.37705 0.572501
2584.145 3.90342 0.585366
2584.535 4.19015 0.590689
2584.925 4.15644 0.590902
2585.315 4.07397 0.588732
2585.706 3.8893 0.584341
2586.096 3.16345 0.567015
2586.486 2.96169 0.55928
2586.877 3.29929 0.564928
2587.267 3.99448 0.585181
2587.657 5.07421 0.612948
2588.047 5.25317 0.619565
2588.438 4.74551 0.610446
2588.828 3.23248 0.567401
2589.218 2.94679 0.556091
2589.608 2.09619 0.534875
2589.999 2.16644 0.537856
2590.389 2.52201 0.547971
2590.779 2.58082 0.548286
2591.169 3.36393 0.568803
2591.56 3.23382 0.566545
2591.95 3.74079 0.580058
2592.34 3.52984 0.577863
2592.73 2.58152 0.548576
2593.121 2.50927 0.547768
2593.511 2.80392 0.559455
2593.901 2.04494 0.534983
2594.292 1.61671 0.520892
2594.682 2.00089 0.531939
2595.072 2.87459 0.558063
2595.462 2.97755 0.561981
2595.853 2.06863 0.535537
2596.243 2.13608 0.536759
2596.633 2.46045 0.547526
2597.023 3.31003 0.568552
2597.414 2.94128 0.559055
2597.804 2.81491 0.558762
2598.194 3.10794 0.563972
2598.584 3.43708 0.576161
2598.975 3.27511 0.573563
2599.365 2.09443 0.538107
2599.755 2.04923 0.536759
2600.146 2.37773 0.547711
2600.536 2.88722 0.557636
2600.926 3.54539 0.577002
2601.316 3.24121 0.569971
2601.707 3.40047 0.571205
2602.097 3.84869 0.58689
2602.487 3.60263 0.580076
2602.877 4.00303 0.58995
2603.268 3.73313 0.583085
2603.658 3.51487 0.577202
2604.048 3.74613 0.582347
2604.438 3.17006 0.570527
2604.829 3.25432 0.571469
2605.219 4.11116 0.592685
2605.609 4.59044 0.605208
2606. 4.26616 0.597671
2606.39 4.46547 0.602879
2606.78 3.96031 0.587679
2607.17 3.91841 0.587183
2607.561 3.86425 0.591812
2607.951 4.40886 0.599628
2608.341 4.47548 0.599857
2608.731 5.0101 0.617276
2609.122 4.70138 0.608211
2609.512 5.38505 0.626433
2609.902 4.75018 0.609147
2610.292 3.90906 0.587987
2610.683 4.05396 0.591735
2611.073 4.75397 0.611178
2611.463 4.82525 0.612672
2611.854 4.82062 0.610706
2612.244 4.06302 0.592613
2612.634 4.63774 0.608351
2613.024 4.65403 0.609551
2613.415 4.20273 0.597211
2613.805 3.93833 0.589341
2614.195 4.40153 0.599685
2614.585 3.795 0.583626
2614.976 3.53272 0.580916
2615.366 3.69889 0.585436
2615.756 4.27127 0.594003
2616.146 4.48891 0.603145
2616.537 4.35073 0.600118
2616.927 4.59851 0.603715
2617.317 5.25232 0.624725
2617.707 5.29063 0.624412
2618.098 4.29758 0.597703
2618.488 3.90621 0.591778
2618.878 4.1805 0.596868
2619.268 4.79962 0.612372
2619.659 5.19002 0.625915
2620.049 5.07341 0.623002
2620.439 3.64521 0.586009
2620.829 3.93196 0.596184
2621.22 5.12764 0.623376
2621.61 4.73168 0.614539
2622. 4.03967 0.596993
2622.39 4.57685 0.609109
2622.781 4.29073 0.604498
2623.171 3.92925 0.592825
2623.561 4.61061 0.610584
2623.952 4.42158 0.606548
2624.342 4.48468 0.609302
2624.732 3.9463 0.593159
2625.122 3.24978 0.575192
2625.513 3.96593 0.595507
2625.903 4.14663 0.600029
2626.293 4.7171 0.615091
2626.683 4.56357 0.609714
2627.074 4.09579 0.598334
2627.464 4.00921 0.599123
2627.854 4.12504 0.601445
2628.244 3.72105 0.589733
2628.635 3.97952 0.601136
2629.025 3.82212 0.595287
2629.415 3.30876 0.580789
2629.805 3.84913 0.594546
2630.196 3.78515 0.591756
2630.586 4.34208 0.607947
2630.976 4.54803 0.615244
2631.366 4.15749 0.605368
2631.757 3.18319 0.576696
2632.147 3.01798 0.569794
2632.537 5.15217 0.629254
2632.927 4.53396 0.613044
2633.318 3.5374 0.586874
2633.708 4.15 0.605433
2634.098 3.97119 0.600076
2634.489 3.88503 0.598248
2634.879 3.68328 0.595166
2635.269 3.74229 0.592893
2635.659 3.96235 0.597173
2636.05 4.23775 0.607569
2636.44 3.98252 0.600045
2636.83 4.31583 0.609562
2637.22 4.24865 0.608511
2637.611 3.48726 0.587993
2638.001 3.36068 0.587537
2638.391 4.05893 0.607422
2638.781 4.2036 0.609236
2639.172 4.52436 0.61651
2639.562 3.74489 0.596789
2639.952 3.98061 0.60307
2640.343 3.84677 0.600799
2640.733 3.22904 0.584443
2641.123 3.33559 0.586118
2641.513 3.18159 0.584323
2641.904 3.2708 0.582772
2642.294 3.07745 0.578261
2642.684 3.1154 0.580706
2643.074 4.20121 0.608455
2643.465 4.25873 0.612178
2643.855 3.68441 0.597533
2644.245 3.98441 0.601679
2644.635 3.98997 0.601275
2645.026 3.34965 0.587123
2645.416 3.66517 0.595184
2645.806 3.81137 0.597171
2646.197 3.53272 0.590552
2646.587 3.89256 0.602932
2646.977 3.99371 0.605045
2647.367 3.91871 0.602094
2647.758 4.06611 0.606049
2648.148 4.13892 0.603976
2648.538 3.37103 0.588859
2648.928 3.99494 0.604918
2649.319 3.46488 0.591553
2649.709 3.64413 0.595239
2650.099 3.54555 0.59146
2650.49 3.76451 0.598951
2650.88 3.09632 0.581351
2651.27 3.9432 0.603582
2651.66 4.81405 0.62531
2652.051 3.66129 0.597817
2652.441 3.80686 0.600389
2652.831 4.0271 0.608112
2653.221 4.47617 0.617713
2653.612 4.38747 0.613524
2654.002 4.69856 0.624276
2654.392 4.00945 0.605651
2654.782 3.43427 0.58844
2655.173 3.59697 0.593542
2655.563 4.08178 0.607237
2655.953 3.65184 0.596313
2656.343 3.57203 0.595402
2656.734 3.79947 0.600161
2657.124 4.34177 0.614722
2657.514 3.79293 0.602369
2657.904 3.72058 0.597223
2658.295 3.38365 0.589426
2658.685 3.98722 0.608371
2659.075 3.33937 0.591542
2659.466 3.86951 0.60599
2659.856 3.46764 0.596804
2660.246 3.4874 0.595076
2660.636 3.55313 0.595915
2661.027 4.1715 0.614444
2661.417 3.93129 0.606481
2661.807 3.63464 0.595975
2662.197 4.05373 0.60828
2662.588 4.32684 0.619129
2662.978 3.77377 0.605034
2663.368 2.97212 0.584964
2663.758 3.39629 0.594703
2664.149 3.75337 0.600916
2664.539 3.88901 0.606565
2664.929 3.67266 0.602967
2665.319 4.24437 0.619375
2665.71 4.01951 0.612439
2666.1 3.88332 0.607913
2666.49 3.50562 0.598473
2666.88 3.25673 0.591111
2667.271 3.90225 0.609225
2667.661 2.91225 0.581945
2668.051 2.49753 0.571324
2668.441 3.04859 0.58832
2668.832 3.35384 0.594494
2669.222 3.94741 0.608704
2669.612 3.56867 0.601233
2670.002 2.50174 0.571683
2670.393 2.6262 0.576985
2670.783 3.42494 0.599296
2671.173 2.80143 0.580738
2671.564 2.69601 0.581258
2671.954 2.84934 0.585034
2672.344 3.83683 0.609055
2672.734 3.3905 0.600606
2673.125 3.20276 0.595272
2673.515 3.7112 0.611997
2673.905 3.40769 0.604466
2674.295 2.40435 0.574473
2674.686 3.26777 0.59734
2675.076 3.15751 0.59607
2675.466 3.18991 0.595661
2675.856 3.4206 0.60176
2676.247 3.74318 0.612539
2676.637 3.70472 0.609199
2677.027 4.01212 0.618279
2677.417 3.56387 0.605787
2677.808 3.23429 0.596471
2678.198 3.89743 0.614983
2678.588 3.88168 0.615952
2678.979 3.65755 0.609362
2679.369 3.09165 0.595275
2679.759 3.28702 0.600252
2680.149 3.33842 0.600362
2680.54 3.22168 0.600899
2680.93 2.95916 0.593415
2681.32 3.19735 0.599531
2681.71 2.84793 0.589715
2682.101 3.08955 0.595941
2682.491 3.63351 0.612231
2682.881 3.66838 0.611562
2683.271 3.97169 0.618998
2683.662 3.6933 0.614919
2684.052 4.39213 0.63332
2684.442 3.26373 0.602678
2684.833 3.05001 0.597952
2685.223 2.87807 0.589493
2685.613 2.74257 0.588362
2686.003 3.27328 0.604618
2686.394 4.11713 0.6243
2686.784 3.34831 0.603268
2687.174 2.52042 0.58165
2687.564 3.80877 0.617523
2687.955 3.35529 0.606123
2688.345 2.77743 0.591794
2688.735 3.34495 0.607372
2689.125 3.29237 0.607227
2689.516 3.8402 0.620127
2689.906 3.38393 0.609509
2690.296 3.48987 0.612033
2690.687 3.25797 0.603333
2691.077 2.33705 0.581202
2691.467 3.01882 0.600031
2691.857 4.22004 0.628797
2692.248 3.09226 0.601488
2692.638 3.11712 0.602364
2693.028 3.39492 0.608909
2693.418 2.9948 0.60156
2693.809 2.96975 0.597617
2694.199 3.17807 0.60371
2694.589 3.25986 0.610379
2694.979 3.36788 0.611988
2695.37 3.6938 0.616815
2695.76 4.2411 0.635544
2696.15 3.66534 0.619515
2696.541 3.20037 0.606499
2696.931 3.15997 0.605646
2697.321 2.76157 0.595418
2697.711 3.4104 0.614773
2698.102 3.24575 0.609262
2698.492 2.73018 0.597526
2698.882 3.35912 0.611531
2699.272 3.85666 0.626488
2699.663 4.18549 0.635111
2700.053 3.54795 0.620245
2700.443 3.12251 0.607521
2700.833 3.4441 0.614285
2701.224 3.45437 0.616911
2701.614 3.18788 0.610376
2702.004 3.40793 0.615706
2702.394 4.85533 0.653336
2702.785 4.61719 0.649135
2703.175 3.93084 0.63001
2703.565 3.45495 0.619938
2703.955 3.77799 0.629445
2704.346 4.38677 0.644136
2704.736 3.98697 0.634046
2705.126 4.50354 0.648998
2705.516 3.6662 0.626937
2705.907 3.27839 0.619363
2706.297 3.50696 0.62671
2706.687 3.60559 0.622584
2707.077 3.79389 0.629989
2707.468 3.24482 0.619174
2707.858 2.97468 0.607308
2708.248 3.08938 0.612021
2708.639 3.35183 0.622573
2709.029 2.31034 0.590722
2709.419 2.4103 0.593355
2709.809 3.04755 0.613525
2710.2 3.57328 0.62637
2710.59 3.67937 0.628391
2710.98 3.92083 0.635524
2711.37 3.16855 0.615567
2711.761 3.37345 0.619994
2712.151 3.13277 0.616261
2712.541 3.21631 0.619048
2712.931 3.66279 0.63164
2713.322 4.16177 0.645131
2713.712 3.26434 0.619322
2714.102 2.28715 0.591861
2714.492 3.51266 0.626523
2714.883 3.67253 0.628762
2715.273 3.44061 0.626473
2715.663 3.23116 0.621499
2716.053 3.21617 0.617274
2716.444 3.54779 0.627734
2716.834 2.93761 0.612142
2717.224 3.28309 0.623008
2717.615 3.98275 0.640622
2718.005 4.07151 0.64287
2718.395 3.6109 0.631363
2718.785 3.52187 0.628926
2719.176 3.22458 0.619717
2719.566 3.55303 0.629085
2719.956 4.12956 0.645064
2720.346 3.22685 0.62139
2720.737 3.40037 0.628446
2721.127 4.14942 0.648846
2721.517 3.95441 0.642898
2721.907 3.17155 0.618396
2722.298 2.82243 0.612508
2722.688 3.39836 0.629295
2723.078 2.58274 0.603599
2723.469 3.24919 0.627988
2723.859 4.26243 0.653023
2724.249 4.19897 0.649383
2724.639 3.3575 0.629003
2725.03 3.1403 0.624072
2725.42 3.01356 0.617348
2725.81 2.84295 0.614242
2726.2 3.4269 0.631146
2726.591 4.22717 0.649977
2726.981 3.42154 0.630231
2727.371 3.83752 0.63907
2727.761 4.05592 0.646549
2728.152 2.6954 0.608747
2728.542 2.96673 0.618451
2728.932 3.73702 0.63942
2729.323 3.40202 0.632272
2729.713 3.18248 0.623938
2730.103 2.75725 0.613058
2730.493 2.11234 0.596163
2730.884 2.48242 0.607858
2731.274 2.83749 0.619645
2731.664 3.19688 0.627518
2732.054 3.94448 0.646906
2732.445 3.76324 0.645197
2732.835 2.968 0.622599
2733.225 2.79615 0.615113
2733.615 2.66975 0.617808
2734.006 3.30924 0.632856
2734.396 3.80925 0.644669
2734.786 3.79046 0.649436
2735.177 3.39089 0.637465
2735.567 3.36498 0.63447
2735.957 3.64247 0.644712
2736.347 3.81897 0.649211
2736.738 3.62353 0.644332
2737.128 3.39696 0.638568
2737.518 3.41345 0.639173
2737.908 3.85045 0.654097
2738.299 3.50245 0.644069
2738.689 3.15524 0.633732
2739.079 3.10271 0.630411
2739.469 3.40236 0.640399
2739.86 3.27506 0.638089
2740.25 2.63651 0.622051
2740.64 2.8529 0.629026
2741.03 2.72799 0.624155
2741.421 2.88493 0.626029
2741.811 4.66428 0.672615
2742.201 4.49558 0.674183
2742.591 3.07279 0.634426
2742.982 2.57213 0.620744
2743.372 2.29647 0.61511
2743.762 2.68444 0.624752
2744.153 3.24897 0.639841
2744.543 2.93977 0.634994
2744.933 2.57097 0.624026
2745.323 3.00278 0.635671
2745.714 3.31572 0.646492
2746.104 2.93225 0.634723
2746.494 3.77765 0.658134
2746.884 3.28315 0.644235
2747.275 2.84182 0.63259
2747.665 2.06101 0.615207
2748.055 3.27597 0.64481
2748.445 3.13828 0.641716
2748.836 2.69486 0.634181
2749.226 2.47437 0.62705
2749.616 3.11828 0.642333
2750.006 2.87016 0.638866
2750.397 2.72235 0.635674
2750.787 2.77169 0.635858
2751.177 2.85699 0.641373
2751.567 2.98161 0.643409
2751.958 3.20692 0.648887
2752.348 2.4382 0.629076
2752.738 3.00251 0.646052
2753.128 3.60135 0.660665
2753.519 3.1521 0.650776
2753.909 3.68339 0.663312
2754.299 2.79839 0.640094
2754.689 2.83848 0.641308
2755.08 3.53849 0.658123
2755.47 2.27495 0.624856
2755.86 2.61258 0.635164
2756.251 2.6389 0.636793
2756.641 3.31579 0.655266
2757.031 3.48998 0.659578
2757.421 3.05049 0.649624
2757.812 3.44573 0.659707
2758.202 3.90906 0.672262
2758.592 3.44362 0.660308
2758.982 3.06525 0.650624
2759.373 3.07614 0.653399
2759.763 4.22243 0.67995
2760.153 4.08313 0.676833
2760.543 3.47561 0.660322
2760.934 3.25431 0.656936
2761.324 3.73024 0.671851
2761.714 2.8123 0.64615
2762.104 1.96472 0.62118
2762.495 3.06774 0.65213
2762.885 3.45361 0.66513
2763.275 3.89085 0.679568
2763.666 3.8856 0.676842
2764.056 3.25343 0.658088
2764.446 3.39769 0.664446
2764.836 3.47041 0.666611
2765.227 3.5402 0.67131
2765.617 2.98531 0.653689
2766.007 2.55062 0.641027
2766.397 3.02446 0.656182
2766.788 3.1472 0.657066
2767.178 3.08346 0.658696
2767.568 3.09544 0.66048
2767.958 2.6459 0.643506
2768.349 3.47391 0.667307
2768.739 3.5706 0.668987
2769.129 3.11576 0.657047
2769.52 3.25275 0.664162
2769.91 3.30274 0.665473
2770.3 3.50944 0.668803
2770.69 3.66483 0.673142
2771.081 3.58046 0.670661
2771.471 3.88665 0.680897
2771.861 3.93528 0.680261
2772.251 3.811 0.676212
2772.642 3.21447 0.662581
2773.032 3.70235 0.67678
2773.422 2.81015 0.654813
2773.812 3.04299 0.663405
2774.203 3.67041 0.682063
2774.593 3.29107 0.666683
2774.983 4.00089 0.685373
2775.374 3.63271 0.677152
2775.764 2.57935 0.64809
